Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel
Leontopithecus_rosalia	Leontopithecus_chrysomelas	1.44017340539	0.988979824599	1.4560128688	0.374078144883153	0.0119922263794584	0.999983650222326	0.99907391300624	31.1644980800809	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Saguinus_oedipus	Saguinus_geoffroyi	1.29891538769	0.982658287557	1.0824088122	0.262204238625192	0.00891509394537232	0.999540900824354	0.99228813686774	29.1844547032813	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Nycticebus_coucang	Nycticebus_bengalensis	1.17239727649	1.02250600386	0.7309786948	0.124272710399172	0.00602059375603413	0.956682390385286	0.871859232820264	17.9962831474097	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Callithrix_kuhlii	Callithrix_jacchus	1.005881024	1.18456042837	0.9187599778	0.148140538698217	0.00756722545401981	0.968326685968767	0.896134130439794	17.5432585742095	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Hylobates_klossii	Hylobates_muelleri	1.11175618088	1.83057743617	4.4746984421	0.595964422211094	0.0368551664943038	0.999910171905909	0.998913697693155	16.1528784512874	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Callithrix_geoffroyi	Callithrix_jacchus	0.965491517283	1.18456042837	1.329815554	0.181626901068341	0.010952821577488	0.971440902748749	0.90640826663794	15.0306588496379	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontocebus_nigricollis	Leontocebus_fuscicolis	0.972058707442	1.28616276318	2.6411856	0.260419180310044	0.0217537195611946	0.974093025855322	0.923110806588108	11.0507887587118	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Hylobates_agilis	Hylobates_muelleri	1.46292214143	1.83057743617	3.3657311764	0.304817746679147	0.0277213279255253	0.97909797854178	0.938612495659963	10.3207806891718	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cebus_olivaceus	Cebus_albifrons	1.61201247014	1.39875685547	2.3047363682	0.176807180150515	0.0189826071353369	0.894558179224718	0.797307800587944	7.42625830735035	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Aotus_azarae	Aotus_trivirgatus	0.856613955218	1.32469369077	6.086419244	0.388078214290459	0.0501298573511207	0.97124052981695	0.94282233957767	7.29882008986557	11.8833270502149	-28.8301865462559	40.7135135964709	OU
