Model	logLik	AIC	AICc	DeltaAICc	AkaikeWeight
OU	19.1405832801241	-32.2811665602482	-32.0844452487728	0	0.999995545418002
BM	5.46928846174856	-6.93857692349713	-6.84101594788737	25.2434293008855	3.29956767702986e-06
EB	5.46918991950555	-4.93837983901111	-4.7416585275357	27.3427867212371	1.15501432067972e-06
