FAMILY	GENUS	SPECIES	COUNTA de PDID
		Trachypithecus_cristatus	3
		Trachypithecus_francoisi	12
		Trachypithecus_geei	6
		Trachypithecus_germaini	1
		Trachypithecus_hatinhensis	1
		Trachypithecus_laotum	1
		Trachypithecus_leucocephalus	1
		Trachypithecus_melamera	1
		Trachypithecus_obscurus	2
		Trachypithecus_phayrei	2
		Trachypithecus_pileatus	1
		Trachypithecus_poliocephalus	10
		Trachypithecus_sp	1
	Trachypithecus Total		50
Cercopithecidae Total			998
Cheirogaleidae	Cheirogaleus	Cheirogaleus_major	2
		Cheirogaleus_medius	2
	Cheirogaleus Total		4
	Microcebus	Microcebus_arnholdi	2
		Microcebus_murinus	2
		Microcebus_ravelobensis	2
	Microcebus Total		6
	Mirza	Mirza_zaza	5
	Mirza Total		5
Cheirogaleidae Total			15
Daubentoniidae	Daubentonia	Daubentonia_madagascariensis	2
	Daubentonia Total		2
Daubentoniidae Total			2
Galagidae	Galago	Galago_matschiei	1
		Galago_moholi	12
		Galago_senegalensis	5
		Galagoides_demidoff	2
	Galago Total		20
	Galagoides	Galagoides_demidoff	2
		Galagoides_thomasi	1
	Galagoides Total		3
	Otolemur	Otolemur_crassicaudatus	3
		Otolemur_garnettii	9
		Otolemur_monteiri	2
	Otolemur Total		14
	Paragalago	Paragalago_cocos	3
		Paragalago_granti	1
		Paragalago_zanzibaracus	3
	Paragalago Total		7
Galagidae Total			44
Hominidae	Gorilla	Gorilla_beringei	17
		Gorilla_gorilla	88
	Gorilla Total		105
	Pan	Pan_paniscus	13
		Pan_troglodytes	361
	Pan Total		374
	Pongo	Pongo_abelii	41
		Pongo_pygmaeus	21
		Pongo_tapanuliensis	1
	Pongo Total		63
Hominidae Total			542
Hylobatidae	Hoolock	Hoolock_hoolock	11
	Hoolock Total		11
	Hylobates	Hylobates_abbotti	1
		Hylobates_agilis	1
		Hylobates_klossii	1
		Hylobates_lar	30
		Hylobates_muelleri	1
	Hylobates Total		34
	Nomascus	Nomascus_annamensis	2
		Nomascus_concolor	1
		Nomascus_gabriellae	4
		Nomascus_leucogenys	1
		Nomascus_siki	1
	Nomascus Total		9
	Symphalangus	Symphalangus_syndactylus	3
	Symphalangus Total		3
Hylobatidae Total			57
Indriidae	Avahi	Avahi_cleesei	1
		Avahi_laniger	2
		Avahi_occidentalis	1
		Avahi_peyrierasi	2
	Avahi Total		6
	Indri	Indri_indri	2
	Indri Total		2
	Propithecus	Propithecus_coquereli	3
		Propithecus_coronatus	1
		Propithecus_diadema	4
		Propithecus_edwardsi	1
		Propithecus_perrieri	2
		Propithecus_sp	1
		Propithecus_tattersalli	6
		Propithecus_verreauxi	2
	Propithecus Total		20
Indriidae Total			28
Lemuridae	Eulemur	Eulemur_albifrons	3
		Eulemur_cinereiceps	1
		Eulemur_collaris	6
		Eulemur_coronatus	6
		Eulemur_flavifrons	6
		Eulemur_fulvus	3
		Eulemur_macaco	5
		Eulemur_mongoz	6
		Eulemur_rubriventer	5
		Eulemur_rufifrons	4
		Eulemur_rufus	1
		Eulemur_sanfordi	5
	Eulemur Total		51
	Hapalemur	Hapalemur_alaotrensis	4
		Hapalemur_aureus	1
		Hapalemur_gilberti	1
		Hapalemur_griseus	6
		Hapalemur_meridionalis	1
		Hapalemur_occidentalis	1
	Hapalemur Total		14
	Lemur	Lemur_catta	9
	Lemur Total		9
	Prolemur	Prolemur_simus	1
	Prolemur Total		1
	Varecia	Varecia_NA	1
		Varecia_rubra	1
		Varecia_rubriventer	3
		Varecia_varecia	1
		Varecia_variegata	3
	Varecia Total		9
Lemuridae Total			84
Lepilemuridae	Lepilemur	Lepilemur_ankaranensis	5
		Lepilemur_dorsalis	2
		Lepilemur_mittermeieri	1
		Lepilemur_ruficaudatus	2
		Lepilemur_sahamalazensis	1
		Lepilemur_septentrionalis	2
	Lepilemur Total		13
Lepilemuridae Total			13
Lorisidae	Arctocebus	Arctocebus_calabarensis	2
	Arctocebus Total		2
	Loris	Loris_lydekkerianus	4
		Loris_tardigradus	4
	Loris Total		8
	Nycticebus	Nycticebus_bengalensis	9
		Nycticebus_coucang	8
		Nycticebus_pygmaeus	8
	Nycticebus Total		25
	Perodicticus	Perodicticus_ibeanus	1
		Perodicticus_potto	3
	Perodicticus Total		4
Lorisidae Total			39
NA	Unknown	NA_NA	1
	Unknown Total		1
NA Total			1
Pitheciidae	Cacajao	Cacajao_amuna	7
		Cacajao_ayresi	6
		Cacajao_calvus	20
		Cacajao_hosomi	4
		Cacajao_melanocephalus	16
		Cacajao_novaesi	5
		Cacajao_rubicundus	7
		Cacajao_sp	7
		Cacajao_ucayalii	2
	Cacajao Total		74
	Cheracebus	Cheracebus_lucifer	9
		Cheracebus_lugens	13
		Cheracebus_purinus	4
		Cheracebus_regulus	4
		Cheracebus_sp	3
		Cheracebus_torquatus	1
	Cheracebus Total		34
	Chiropotes	Chiropotes_albinasus	7
		Chiropotes_chiropotes	2
		Chiropotes_israelita	5
		Chiropotes_sagulatus	7
		Chiropotes_satanas	2
	Chiropotes Total		23
	Pithecia	Pithecia_albicans	3
		Pithecia_cazuzai	3
		Pithecia_chrysocephala	1
		Pithecia_hirsuta	6
		Pithecia_irrorata	1
		Pithecia_isabela	1
		Pithecia_mittermeieri	1
		Pithecia_monachus	5
		Pithecia_pissinattii	3
		Pithecia_pithecia	10
		Pithecia_sp	1
		Pithecia_vanzolinii	1
	Pithecia Total		36
	Plecturocebus	Plecturocebus_bernhardi	7
		Plecturocebus_brunneus	2
		Plecturocebus_caligatus	3
		Plecturocebus_cinerascens	6
		Plecturocebus_cupreus	7
		Plecturocebus_donacophilus	1
		Plecturocebus_dubius	3
		Plecturocebus_grovesi	1
		Plecturocebus_hoffmannsi	3
		Plecturocebus_miltoni	9
		Plecturocebus_moloch	10
		Plecturocebus_ochraceous	1
		Plecturocebus_oenanthe	1
		Plecturocebus_sp	21
		Plecturocebus_stephenashi	5
		Plecturocebus_toppini	5
	Plecturocebus Total		85
Pitheciidae Total			252
Ptilocercidae	Ptilocercus	Ptilocercus_lowii	1
	Ptilocercus Total		1
Ptilocercidae Total			1
Tarsiidae	Carlito	Carlito_syrichta	5
	Carlito Total		5
	Cephalopachus	Cephalopachus_bancanus	1
	Cephalopachus Total		1
	Tarsius	Tarsius_dentatus	1
		Tarsius_lariang	1
		Tarsius_wallacei	1
	Tarsius Total		3
Tarsiidae Total			9
Suma total			2721
