accepted_tree_tip	original_species_name	superfamily	family	MLS_years	body_mass_g	expected_MLS_years	LQ_mammal	log_LQ_mammal	MLS_trait_id	MLS_source	MLS_source_link	mass_trait_id	mass_source	mass_source_link	taxonomic_mapping_status	genome_samples	genome_available
Ateles_fusciceps	Ateles_fusciceps	PLA	Atelidae	46	9030	36.1850573665	1.27124297563	0.239995142805	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	30	True
Ateles_geoffroyi	Ateles_geoffroyi	PLA	Atelidae	47.1	7540	34.9725633099	1.34677002605	0.29770915238	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Ateles_marginatus	Ateles_marginatus	PLA	Atelidae	44	6960	34.4474776438	1.2773068744	0.244753857026	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Ateles_paniscus	Ateles_paniscus	PLA	Atelidae	46	8280	35.5968865391	1.29224784728	0.256383219222	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	3	True
Brachyteles_arachnoides	Brachyteles_arachnoides	PLA	Atelidae	40	8840	36.0399150606	1.10988052921	0.104252378187	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	0	False
Cacajao_calvus	Cacajao_calvus	PLA	Pitheciidae	35.8	3170	29.6896092102	1.20580906763	0.187150767055	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	20	True
Callimico_goeldii	Callimico_goeldii	PLA	Callitrichidae	22.2	480	20.7806378826	1.06830214382	0.066070606728	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Callithrix_geoffroyi	Callithrix_geoffroyi	PLA	Callitrichidae	17.6	240	18.229057102	0.965491517283	-0.0351179629803	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Callithrix_jacchus	Callithrix_jacchus	PLA	Callitrichidae	22.8	320	19.2476461766	1.18456042837	0.169371759243	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	6	True
Callithrix_kuhlii	Callithrix_kuhlii	PLA	Callitrichidae	20	380	19.8830672047	1.005881024	0.00586379827702	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Callithrix_penicillata	Callithrix_penicillata	PLA	Callitrichidae	15.4	330	19.3599136228	0.795458094496	-0.228837110786	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	0	False
Carlito_syrichta	Carlito_syrichta	TAR	Tarsiidae	16	130	16.2345245503	0.98555396251	-0.0145513974091	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	5	True
Cebuella_pygmaea	Cebuella_pygmaea	PLA	Callitrichidae	18.6	120	15.9907758705	1.16317057726	0.151149532821	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	7	True
Cebus_albifrons	Cebus_albifrons	PLA	Cebidae	40.4	2740	28.88278963	1.39875685547	0.335583881771	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	15	True
Cebus_capucinus	Cebus_capucinus	PLA	Cebidae	54	3110	29.5825763589	1.82539882074	0.601798495074	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	0	False
Cebus_olivaceus	Cebus_olivaceus	PLA	Cebidae	47	2880	29.156101997	1.61201247014	0.477483379876	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	4	True
Cercocebus_agilis	Cercocebus_agilis	OWM	Cercopithecidae	31	7580	35.0075534469	0.885523178504	-0.12157664649	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	0	False
Cercocebus_atys	Cercocebus_atys	OWM	Cercopithecidae	32.5	8600	35.8529163588	0.906481349377	-0.0981848233208	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	17	True
Cercocebus_torquatus	Cercocebus_torquatus	OWM	Cercopithecidae	46	7500	34.9374223063	1.31663977945	0.275082869366	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Cercopithecus_ascanius	Cercopithecus_ascanius	OWM	Cercopithecidae	31.2	3240	29.8124238865	1.0465435524	0.045492879242	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	4	True
Cercopithecus_campbelli	Cercopithecus_campbelli	OWM	Cercopithecidae	30	3600	30.4120330173	0.986451645075	-0.0136409713706	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	30	True
Cercopithecus_cephus	Cercopithecus_cephus	OWM	Cercopithecidae	36	3480	30.2177941088	1.1913510255	0.17508797869	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	3	True
Cercopithecus_diana	Cercopithecus_diana	OWM	Cercopithecidae	35.1	4500	31.7220646416	1.10648535638	0.101188646241	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Cercopithecus_erythrogaster	Cercopithecus_erythrogaster	OWM	Cercopithecidae	24	3500	30.2505406573	0.793374249799	-0.231460226938	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	0	False
Cercopithecus_hamlyni	Cercopithecus_hamlyni	OWM	Cercopithecidae	28.6	4430	31.6282079048	0.904256102215	-0.100642659801	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Cercopithecus_lowei	Cercopithecus_lowei	OWM	Cercopithecidae	30	3900	30.8756060771	0.971640845692	-0.0287690431209	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Cercopithecus_mitis	Cercopithecus_mitis	OWM	Cercopithecidae	37.8	4890	32.224312093	1.173027368	0.159587901026	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	9	True
Cercopithecus_mona	Cercopithecus_mona	OWM	Cercopithecidae	30	4050	31.0966266909	0.964734866524	-0.0359019651097	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Cercopithecus_neglectus	Cercopithecus_neglectus	OWM	Cercopithecidae	30.8	5740	33.2153343397	0.927282552238	-0.0754969570136	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	3	True
Cercopithecus_nictitans	Cercopithecus_nictitans	OWM	Cercopithecidae	31	5460	32.9028630738	0.942167249412	-0.0595724730193	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Cercopithecus_petaurista	Cercopithecus_petaurista	OWM	Cercopithecidae	29	3650	30.4914187301	0.951087263491	-0.0501494609293	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	9	True
Cercopithecus_pogonias	Cercopithecus_pogonias	OWM	Cercopithecidae	27	3580	30.3800282033	0.888741768747	-0.117948559514	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
