trait	Top	Bottom
LQ	Callithrix_jacchus	Mico_humeralifer
LQ	Macaca_fascicularis	Macaca_thibetana
LQ	Cheirogaleus_medius	Cheirogaleus_major
LQ	Cacajao_calvus	Chiropotes_albinasus
LQ	Eulemur_mongoz	Eulemur_rubriventer
LQ	Nycticebus_coucang	Arctocebus_calabarensis
LQ	Lemur_catta	Prolemur_simus
LQ	Ateles_geoffroyi	Alouatta_palliata
LQ	Cercopithecus_cephus	Allochrocebus_lhoesti
LQ	Cercocebus_torquatus	Papio_ursinus
