Superfamily	Family	Species	Maximum.lifespan..y.	BodyMass_kg	LQ	LQ_mean_family	LongLivedCFG	ShortLivedCFG
OWM	Cercopithecidae	Macaca_mulatta	34.0	5.96	1.0163729386983174	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_nemestrina	37.6	8.89	1.0421761529672382	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_nigra	34.0	7.68	0.9688161410262606	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_ochreata	29.0	3.95	0.936994121350897	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_radiata	30.0	5.14	0.9222421017997867	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_silenus	40.0	7.5	1.1449041560442155	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_sinica	29.3	4.48	0.9244252407074189	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_sylvanus	29.1	13.5	0.7453420543532542	0.9064781958602356	0	0
OWM	Cercopithecidae	Macaca_thibetana	27.0	15.55	0.673321433159766	0.9064781958602356	0	1
OWM	Cercopithecidae	Macaca_tonkeana	28.4	11.95	0.7443745654235423	0.9064781958602356	0	0
OWM	Cercopithecidae	Mandrillus_leucophaeus	39.0	20.375	0.9241466140755568	0.9064781958602356	0	0
OWM	Cercopithecidae	Mandrillus_sphinx	40.0	23.6	0.9218820143463087	0.9064781958602356	0	0
STR	Cheirogaleidae	Microcebus_murinus	18.2	0.06	1.2974675982641257	1.0971616961152215	0	0
STR	Galagidae	Otolemur_crassicaudatus	19.6	1.15	0.799613096949982	0.87009933213227	0	0
STR	Galagidae	Otolemur_garnettii	18.3	0.76	0.8073708033354634	0.87009933213227	0	0
APE	Hominidae	Pan_paniscus	54.5	39.1	1.1417494589070314	1.0984123648692328	0	0
APE	Hominidae	Pan_troglodytes	59.4	53.7	1.1719714289654743	1.0984123648692328	0	0
OWM	Cercopithecidae	Papio_anubis	31.6	16.65	0.7779210278680961	0.9064781958602356	0	0
OWM	Cercopithecidae	Papio_cynocephalus	34.1	17.05	0.8357072886051321	0.9064781958602356	0	0
OWM	Cercopithecidae	Papio_ursinus	32.6	22.3	0.7594229198630175	0.9064781958602356	0	0
APE	Hominidae	Pongo_abelii	59.0	56.75	1.15198860255921	1.0984123648692328	0	0
APE	Hominidae	Pongo_pygmaeus	56.3	57.15	1.0978121823718079	1.0984123648692328	0	0
STR	Lemuridae	Prolemur_simus	17.6	1.98	0.6479457807284796	1.1310458804921466	0	1
STR	Indriidae	Propithecus_tattersalli	20.0	3.5	0.6611452081656268	0.7767019369974827	0	1
STR	Indriidae	Propithecus_verreauxi	30.5	2.91	1.0440463604431744	0.7767019369974827	0	0
PLA	Cebidae	Saimiri_boliviensis	30.3	0.88	1.3002627552799964	1.4386739154480084	1	0
PLA	Cebidae	Saimiri_sciureus	30.3	0.82	1.3177333265363513	1.4386739154480084	1	0
PLA	Cebidae	Sapajus_apella	46.0	3.01	1.5646041698116764	1.4386739154480084	1	0
STR	Lorisidae	Loris_tardigradus	19.3	0.19	1.1065437709636585	1.0111163879696563	0	0
STR	Indriidae	Propithecus_diadema	21.0	6.105	0.6249142423836466	0.7767019369974827	0	1
PLA	Callitrichidae	Saguinus_oedipus	26.2	0.41	1.2989153876920394	1.0372495175296086	0	0
STR	Lemuridae	Varecia_rubra	37.5	3.265	1.256038827999181	1.1310458804921466	0	0
STR	Lemuridae	Varecia_variegata	36.0	3.55	1.1868752166903516	1.1310458804921466	0	0
OWM	Cercopithecidae	Allochrocebus_lhoesti	24.1	5.5	0.7314492746807562	0.9064781958602356	0	0
OWM	Cercopithecidae	Allochrocebus_preussi	26.0	4.525	0.8187610136796656	0.9064781958602356	0	0
STR	Lorisidae	Arctocebus_calabarensis	13.0	0.31	0.679472229481382	1.0111163879696563	0	1
OWM	Cercopithecidae	Cercopithecus_ascanius	31.2	3.24	1.0465435524040456	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_campbelli	30.0	3.6	0.9864516450749865	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_cephus	36.0	3.48	1.1913510255044302	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_diana	35.1	4.5	1.1064853563790296	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_hamlyni	28.6	4.43	0.9042561022147411	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_mitis	37.8	4.89	1.173027367998409	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_mona	30.0	4.05	0.9647348665241611	0.9064781958602356	0	0
OWM	Cercopithecidae	Cercopithecus_nictitans	31.0	5.46	0.9421672494116061	0.9064781958602356	0	0
