Family	LOW	EXPECTED	HIGH	Totale(L/E/H)
Atelidae	2	3	5	10(2/3/5)
Callitrichidae	2	10	5	17(2/10/5)
Cercopithecidae	24	24	6	54(24/24/6)
Hominidae	0	2	3	5(0/2/3)
Hylobatidae	0	0	8	8(0/0/8)
Lemuridae	2	2	6	10(2/2/6)
Lorisidae	1	3	3	7(1/3/3)
Other Primates	7	5	9	21(7/5/9)
Pitheciidae	3	3	2	8(3/3/2)
TOTAL	41	52	47	140(41/52/47)
