Domain	Family	Genus	SpeciesName	SamplesTMB	Maximum.lifespan..y.	Body_mass	BodyMass_kg	LQ	LQ_class
PLA	Cebidae	Cebus	Cebus_kaapori	0			2.425		
PLA	Cebidae	Cebus	Cebus_leucocephalus	0					
PLA	Cebidae	Cebus	Cebus_malitiosus	0					
PLA	Cebidae	Cebus	Cebus_olivaceus	4	47.0	7.983098941	2.88	1.612012470143719	HIGH
PLA	Cebidae	Cebus	Cebus_unicolor	18			2.74		
PLA	Cebidae	Cebus	Cebus_versicolor	0			2.74		
PLA	Cebidae	Cebus	Cebus_yuracus	0			3.35		
OWM	Cercopithecidae	Cercocebus	Cercocebus_chrysogaster	1			9.75		
OWM	Cercopithecidae	Cercocebus	Cercocebus_lunulatus	1			7.28		
OWM	Cercopithecidae	Cercocebus	Cercocebus_sanjei	0			8.05		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_albogularis	0			5.28		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_denti	0			3.54		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_doggetti	0					
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_dryas	0			2.65		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_kandti	0			6.2		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_lomamiensis	0			5.0		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_lowei	1	30.0		3.9	0.9716408456917347	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_pogonias	1	27.0	8.183118079	3.58	0.8887417687472127	LOW
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_roloway	1			4.55		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_sclateri	0			3.25		
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_andysabini	0					
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_lavasoensis	0					
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_minusculus	0			0.3		
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_shethi	0					
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_sibreei	0			0.27		
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_thomasi	0					
PLA	Pitheciidae	Cheracebus	Cheracebus_lucifer	9			1.5		
PLA	Pitheciidae	Cheracebus	Cheracebus_lugens	13			1.37		
PLA	Pitheciidae	Cheracebus	Cheracebus_medemi	0			1.18		
PLA	Pitheciidae	Cheracebus	Cheracebus_purinus	4			1.5		
PLA	Pitheciidae	Cheracebus	Cheracebus_regulus	4			1.25		
PLA	Pitheciidae	Cheracebus	Cheracebus_torquatus	1			1.25		
PLA	Pitheciidae	Chiropotes	Chiropotes_albinasus	7	20.0	7.953845448	2.82	0.6886977014603463	LOW
PLA	Pitheciidae	Chiropotes	Chiropotes_chiropotes	2		7.915713199	2.74		
PLA	Pitheciidae	Chiropotes	Chiropotes_israelita	5					
PLA	Pitheciidae	Chiropotes	Chiropotes_sagulatus	7			3.0		
