Domain	Family	Genus	SpeciesName	SamplesTMB	Maximum.lifespan..y.	Body_mass	BodyMass_kg	LQ	LQ_class
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_crepusculus	1			6.65		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_delacouri	0			8.175		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_ebenus	0			10.3		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_geei	6		9.225228984	10.15		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_germaini	1			8.83		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_hatinhensis	1			7.275		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_laotum	1			7.0		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_leucocephalus	1			8.285		
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_margarita	0					
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_mauritius	0					
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_selangorensis	0					
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_shortridgei	0					
OWM	Cercopithecidae	Allenopithecus	Allenopithecus_nigroviridis	2	27.0	8.44569719	5.3	0.8252230386376472	LOW
PLA	Atelidae	Ateles	Ateles_belzebuth	5	35.2	9.007856923	8.07	0.9936633798061236	EXPECTED
PLA	Atelidae	Ateles	Ateles_fusciceps	30	46.0	9.107753783	9.03	1.2712429756308765	HIGH
PLA	Atelidae	Ateles	Ateles_geoffroyi	3	47.1	8.927314111	7.54	1.346770026054302	HIGH
PLA	Atelidae	Ateles	Ateles_paniscus	3	46.0	9.021598247	8.28	1.2922478472781653	HIGH
PLA	Atelidae	Brachyteles	Brachyteles_arachnoides	0	40.0	9.087042156	8.84	1.109880529207232	HIGH
PLA	Cebidae	Cebus	Cebus_albifrons	15	40.4	7.913886715	2.74	1.3987568554682992	HIGH
PLA	Cebidae	Cebus	Cebus_capucinus	0	54.0	7.958926493	3.11	1.825398820742833	HIGH
OWM	Cercopithecidae	Cercocebus	Cercocebus_agilis	0	31.0	8.933268479	7.58	0.8855231785043184	LOW
OWM	Cercopithecidae	Cercocebus	Cercocebus_atys	17	32.5	9.059517482	8.6	0.906481349377203	EXPECTED
OWM	Cercopithecidae	Cercocebus	Cercocebus_galeritus	0		8.913953859	7.44		
OWM	Cercopithecidae	Cercocebus	Cercocebus_torquatus	2	46.0	8.920656297	7.5	1.316639779450848	HIGH
OWM	Cercopithecidae	Chlorocebus	Chlorocebus_aethiops	0	30.8	8.221478947	4.65	0.9649344853612781	EXPECTED
OWM	Cercopithecidae	Chlorocebus	Chlorocebus_pygerythrus	26		8.371936179	4.665		
OWM	Cercopithecidae	Chlorocebus	Chlorocebus_sabaeus	13		8.369157113	4.875		
OWM	Cercopithecidae	Chlorocebus	Chlorocebus_tantalus	0			5.325		
OWM	Cercopithecidae	Colobus	Colobus_angolensis	1	35.3	9.062420242	8.6	0.9845782040927774	EXPECTED
OWM	Cercopithecidae	Colobus	Colobus_polykomos	1	33.9	9.116029693	9.1	0.9354844963284726	EXPECTED
STR	Daubentoniidae	Daubentonia	Daubentonia_madagascariensis	2	23.3	7.845807503	2.545	0.8180439718394136	LOW
STR	Lemuridae	Eulemur	Eulemur_albifrons	3		7.756195344	2.04		
STR	Lemuridae	Eulemur	Eulemur_collaris	6		7.805865747	2.16		
STR	Lemuridae	Eulemur	Eulemur_coronatus	6	27.0	7.073269717	1.47	1.051565930963229	EXPECTED
STR	Lemuridae	Eulemur	Eulemur_flavifrons	6			1.83		
STR	Lemuridae	Eulemur	Eulemur_fulvus	3	35.5	7.737180078	1.84	1.325175822955003	HIGH
STR	Lemuridae	Eulemur	Eulemur_macaco	5	36.2	7.779048645	2.063	1.3224033348639614	HIGH
STR	Lemuridae	Eulemur	Eulemur_rufus	1		7.705262475	2.01		
STR	Lemuridae	Eulemur	Eulemur_sanfordi	5		7.646912572	1.87		
STR	Galagidae	Euoticus	Euoticus_elegantulus	0		5.613128106	0.27		
STR	Galagidae	Galago	Galago_gallarum	0			0.2		
STR	Galagidae	Galago	Galago_moholi	12	16.6	4.997212274	0.2	0.9425602882168603	EXPECTED
STR	Galagidae	Galago	Galago_senegalensis	5	17.1	5.267858159	0.25	0.9308531400267742	EXPECTED
PLA	Atelidae	Lagothrix	Lagothrix_lagotricha	18	32.0	8.874867636	7.15	0.9242338186566447	EXPECTED
STR	Lemuridae	Lemur	Lemur_catta	9	37.3	7.700747795	2.21	1.3449756179539767	HIGH
STR	Lorisidae	Loris	Loris_lydekkerianus	4	18.7	5.587248658	0.27	1.0032509379711179	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_arctoides	8	29.2	9.239899174	10.3	0.7871406395479044	LOW
OWM	Cercopithecidae	Macaca	Macaca_assamensis	3	31.4	9.116029693	9.0	0.8683074617444644	LOW
OWM	Cercopithecidae	Macaca	Macaca_cyclopis	2		8.607033895	5.47		
OWM	Cercopithecidae	Macaca	Macaca_fascicularis	36	38.5	8.354909528	4.03	1.2392353547274253	HIGH
OWM	Cercopithecidae	Macaca	Macaca_fuscata	1	38.5	9.16062478	9.5	1.053820608655355	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_hecki	4			9.0		
OWM	Cercopithecidae	Macaca	Macaca_leonina	7		8.637993892	6.7		
OWM	Cercopithecidae	Macaca	Macaca_maura	50	33.0	8.624320545	7.88	0.935763721557057	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_mulatta	83	34.0	8.823647949	5.96	1.0163729386983174	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_nemestrina	24	37.6	9.084890521	8.89	1.0421761529672382	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_nigra	6	34.0	8.946374826	7.68	0.9688161410262606	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_nigrescens	1			5.65		
OWM	Cercopithecidae	Macaca	Macaca_ochreata	4	29.0		3.95	0.936994121350897	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_pagensis	3			6.38		
OWM	Cercopithecidae	Macaca	Macaca_radiata	13	30.0	8.533853632	5.14	0.9222421017997867	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_silenus	17	40.0	8.9226583	7.5	1.1449041560442155	HIGH
OWM	Cercopithecidae	Macaca	Macaca_sinica	3	29.3	8.398409655	4.48	0.9244252407074189	EXPECTED
OWM	Cercopithecidae	Macaca	Macaca_sylvanus	89	29.1	9.399140895	13.5	0.7453420543532542	LOW
OWM	Cercopithecidae	Macaca	Macaca_thibetana	1	27.0		15.55	0.673321433159766	LOW
OWM	Cercopithecidae	Macaca	Macaca_tonkeana	44	28.4	9.00393102	11.95	0.7443745654235423	LOW
OWM	Cercopithecidae	Mandrillus	Mandrillus_leucophaeus	1	39.0	9.61580548	20.375	0.9241466140755568	EXPECTED
OWM	Cercopithecidae	Mandrillus	Mandrillus_sphinx	6	40.0	10.06900199	23.6	0.9218820143463087	EXPECTED
STR	Cheirogaleidae	Microcebus	Microcebus_berthae	0			0.03		
STR	Cheirogaleidae	Microcebus	Microcebus_murinus	2	18.2	4.17438727	0.06	1.2974675982641257	HIGH
STR	Cheirogaleidae	Microcebus	Microcebus_myoxinus	0			0.04		
STR	Cheirogaleidae	Microcebus	Microcebus_ravelobensis	2			0.055		
STR	Cheirogaleidae	Microcebus	Microcebus_rufus	0		3.761200116	0.04		
OWM	Cercopithecidae	Miopithecus	Miopithecus_talapoin	0	27.0	7.090076836	1.25	1.0842851029800058	EXPECTED
STR	Cheirogaleidae	Mirza	Mirza_coquereli	0	17.4	5.743003188	0.31	0.909447445613542	EXPECTED
STR	Galagidae	Otolemur	Otolemur_crassicaudatus	3	19.6	6.745236349	1.15	0.799613096949982	LOW
STR	Galagidae	Otolemur	Otolemur_garnettii	9	18.3	6.638567789	0.76	0.8073708033354634	LOW
APE	Hominidae	Pan	Pan_paniscus	13	54.5	10.57387775	39.1	1.1417494589070314	HIGH
APE	Hominidae	Pan	Pan_troglodytes	361	59.4	10.71368417	53.7	1.1719714289654743	HIGH
OWM	Cercopithecidae	Papio	Papio_anubis	92	31.6	9.80642584	16.65	0.7779210278680961	LOW
OWM	Cercopithecidae	Papio	Papio_cynocephalus	138	34.1	9.749753453	17.05	0.8357072886051321	LOW
OWM	Cercopithecidae	Papio	Papio_papio	22			17.5		
OWM	Cercopithecidae	Papio	Papio_ursinus	4	32.6	10.01234196	22.3	0.7594229198630175	LOW
APE	Hominidae	Pongo	Pongo_abelii	41	59.0	10.94641094	56.75	1.15198860255921	HIGH
APE	Hominidae	Pongo	Pongo_pygmaeus	21	56.3	10.95343467	57.15	1.0978121823718079	EXPECTED
STR	Lemuridae	Prolemur	Prolemur_simus	1	17.6	7.673223121	1.98	0.6479457807284796	LOW
STR	Indriidae	Propithecus	Propithecus_coquereli	3		8.22389538	3.785		
STR	Indriidae	Propithecus	Propithecus_edwardsi	1		8.645058562	5.74		
STR	Indriidae	Propithecus	Propithecus_tattersalli	6	20.0		3.5	0.6611452081656268	LOW
STR	Indriidae	Propithecus	Propithecus_verreauxi	2	30.5	7.99125393	2.91	1.0440463604431744	EXPECTED
OWM	Cercopithecidae	Rungwecebus	Rungwecebus_kipunji	0			10.0		
PLA	Cebidae	Saimiri	Saimiri_boliviensis	4	30.3		0.88	1.3002627552799964	HIGH
PLA	Cebidae	Saimiri	Saimiri_oerstedii	1		6.670766321	0.79		
PLA	Cebidae	Saimiri	Saimiri_sciureus	9	30.3	6.683360946	0.82	1.3177333265363513	HIGH
PLA	Cebidae	Sapajus	Sapajus_apella	8	46.0	7.98480339	3.01	1.5646041698116764	HIGH
STR	Lorisidae	Loris	Loris_tardigradus	4	19.3	5.262690189	0.19	1.1065437709636585	HIGH
STR	Indriidae	Propithecus	Propithecus_diadema	4	21.0	8.720950029	6.105	0.6249142423836466	LOW
PLA	Callitrichidae	Saguinus	Saguinus_oedipus	15	26.2	6.06610809	0.41	1.2989153876920394	HIGH
STR	Lemuridae	Varecia	Varecia_rubra	1	37.5	8.151909873	3.265	1.256038827999181	HIGH
STR	Lemuridae	Varecia	Varecia_variegata	3	36.0	8.181720455	3.55	1.1868752166903516	HIGH
OWM	Cercopithecidae	Allochrocebus	Allochrocebus_lhoesti	2	24.1	8.457443187	5.5	0.7314492746807562	LOW
OWM	Cercopithecidae	Allochrocebus	Allochrocebus_preussi	1	26.0		4.525	0.8187610136796656	LOW
OWM	Cercopithecidae	Allochrocebus	Allochrocebus_solatus	1			6.35		
STR	Lorisidae	Arctocebus	Arctocebus_aureus	0		5.347107531	0.21		
STR	Lorisidae	Arctocebus	Arctocebus_calabarensis	2	13.0	5.733341277	0.31	0.679472229481382	LOW
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_ascanius	4	31.2	8.219864742	3.24	1.0465435524040456	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_campbelli	30	30.0	8.188689124	3.6	0.9864516450749865	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_cephus	3	36.0	8.184513753	3.48	1.1913510255044302	HIGH
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_diana	2	35.1	8.422882512	4.5	1.1064853563790296	HIGH
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_erythrogaster	0	24.0		3.5	0.7933742497987523	LOW
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_erythrotis	0			3.4		
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_hamlyni	1	28.6	8.395025557	4.43	0.9042561022147411	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_mitis	9	37.8	8.717518373	4.89	1.173027367998409	HIGH
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_mona	1	30.0	8.221210094	4.05	0.9647348665241611	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_nictitans	2	31.0	8.606119401	5.46	0.9421672494116061	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_petaurista	9	29.0	8.191186005	3.65	0.951087263490973	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_wolfi	0	24.0		3.34	0.8004217454499103	LOW
OWM	Cercopithecidae	Colobus	Colobus_guereza	5	35.3	9.058237594	8.89	0.9784260159506251	EXPECTED
OWM	Cercopithecidae	Erythrocebus	Erythrocebus_patas	5	28.3	9.15377002	9.45	0.7753995471738978	LOW
APE	Hominidae	Gorilla	Gorilla_gorilla	88	55.0	11.70313252	122.5	0.9285401515426395	EXPECTED
STR	Lepilemuridae	Lepilemur	Lepilemur_dorsalis	2		6.768493212	0.795		
STR	Lepilemuridae	Lepilemur	Lepilemur_leucopus	0		6.406879986	0.585		
STR	Lepilemuridae	Lepilemur	Lepilemur_microdon	0		6.877296071	1.035		
STR	Lepilemuridae	Lepilemur	Lepilemur_mustelinus	0	12.0	6.65544035	0.98	0.5045860469966207	LOW
STR	Lepilemuridae	Lepilemur	Lepilemur_septentrionalis	2			0.6275		
OWM	Cercopithecidae	Nasalis	Nasalis_larvatus	6	25.1	9.586102001	15.75	0.6244295043474718	LOW
STR	Lorisidae	Nycticebus	Nycticebus_coucang	8	25.8	6.481577129	0.65	1.1723972764874953	HIGH
STR	Lorisidae	Nycticebus	Nycticebus_pygmaeus	8	19.3	5.726847748	0.42	0.9524866831409482	EXPECTED
OWM	Cercopithecidae	Papio	Papio_hamadryas	25	37.5	9.557469903	13.4	0.9618429811666882	EXPECTED
STR	Lorisidae	Perodicticus	Perodicticus_potto	3	26.3	6.727431725	0.83	1.14115781388446	HIGH
OWM	Cercopithecidae	Rhinopithecus	Rhinopithecus_avunculus	0			11.25		
OWM	Cercopithecidae	Rhinopithecus	Rhinopithecus_bieti	20		9.116029693	12.48		
OWM	Cercopithecidae	Rhinopithecus	Rhinopithecus_brelichi	0			11.25		
OWM	Cercopithecidae	Rhinopithecus	Rhinopithecus_roxellana	1	29.5	9.598998362	14.75	0.7430465866117809	LOW
STR	Galagidae	Sciurocheirus	Sciurocheirus_alleni	0			0.27		
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_johnii	2	34.0	9.358760377	11.6	0.8961734562598724	LOW
OWM	Cercopithecidae	Theropithecus	Theropithecus_gelada	1	35.5	9.638870753	15.35	0.8874616371162459	LOW
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_auratus	7	31.1				
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_cristatus	3	28.3	8.76311533	6.25	0.8384184594033078	LOW
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_francoisi	12	26.3		7.52	0.7523956845648258	LOW
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_obscurus	2	33.9	8.861633598	6.99	0.9833072274895859	EXPECTED
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_phayrei	2	28.3	8.919319398	7.44	0.811250299303353	LOW
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_pileatus	1	25.2	9.375346207	10.93	0.6717335649303504	LOW
OWM	Cercopithecidae	Trachypithecus	Trachypithecus_poliocephalus	10			7.6		
PLA	Callitrichidae	Callimico	Callimico_goeldii	2	22.2	6.182084907	0.48	1.0683021438219935	EXPECTED
PLA	Callitrichidae	Callithrix	Callithrix_aurita	0			0.44		
PLA	Callitrichidae	Callithrix	Callithrix_geoffroyi	2	17.6		0.24	0.9654915172828963	EXPECTED
PLA	Callitrichidae	Callithrix	Callithrix_jacchus	6	22.8	5.768320996	0.32	1.1845604283656832	HIGH
PLA	Callitrichidae	Callithrix	Callithrix_kuhlii	1	20.0	5.922462747	0.38	1.0058810239950566	EXPECTED
PLA	Callitrichidae	Callithrix	Callithrix_penicillata	0	15.4	5.793013608	0.33	0.7954580944963352	LOW
TAR	Tarsiidae	Carlito	Carlito_syrichta	5	16.0	4.836281907	0.13	0.9855539625103605	EXPECTED
TAR	Tarsiidae	Tarsius	Tarsius_bancanus	0	16.3	4.836281907	0.12	1.0193376564119638	EXPECTED
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_neglectus	3	30.8	8.603370888	5.74	0.9272825522379446	EXPECTED
STR	Cheirogaleidae	Cheirogaleus	Cheirogaleus_medius	2	23.3	4.941642423	0.176	1.3553446510354628	HIGH
STR	Galagidae	Galagoides	Galagoides_demidovii	0	13.4	4.317488114	0.06	0.9552783415790815	EXPECTED
STR	Galagidae	Galagoides	Galagoides_zanzibaricus	0	12.2	4.96284463	0.14	0.7410326632879943	LOW
STR	Lemuridae	Hapalemur	Hapalemur_alaotrensis	4		7.122866659	1.24		
STR	Lemuridae	Hapalemur	Hapalemur_griseus	6	23.3	6.563855527	0.823	1.01260734094849	EXPECTED
STR	Lemuridae	Hapalemur	Hapalemur_meridionalis	1			0.96		
STR	Lemuridae	Hapalemur	Hapalemur_occidentalis	1			0.9315		
PLA	Callitrichidae	Leontopithecus	Leontopithecus_chrysomelas	4	21.3	6.484635236	0.58	0.9889798245987159	EXPECTED
PLA	Callitrichidae	Leontopithecus	Leontopithecus_rosalia	5	31.6	6.411818268	0.64	1.4401734053922015	HIGH
PLA	Callitrichidae	Mico	Mico_argentatus	9	16.5		0.35	0.842850993680424	LOW
PLA	Callitrichidae	Mico	Mico_emiliae	0			0.32		
PLA	Callitrichidae	Mico	Mico_humeralifer	5	15.0		0.42	0.7402746242028094	LOW
PLA	Callitrichidae	Saguinus	Saguinus_geoffroyi	1	20.5	6.248042875	0.49	0.9826582875565816	EXPECTED
PLA	Callitrichidae	Leontocebus	Leontocebus_fuscicolis	0	24.9	5.993961427	0.33	1.2861627631791392	HIGH
PLA	Callitrichidae	Saguinus	Saguinus_imperator	13	23.7		0.47	1.1450318581480299	HIGH
PLA	Atelidae	Alouatta	Alouatta_caraya	4	32.4	8.591001119	5.38	0.987467656000009	EXPECTED
PLA	Atelidae	Alouatta	Alouatta_palliata	1	24.0	8.740336743	6.12	0.7138565393323573	LOW
PLA	Atelidae	Alouatta	Alouatta_pigra	0		9.09549053	6.56		
PLA	Atelidae	Alouatta	Alouatta_sara	0			6.5		
PLA	Atelidae	Alouatta	Alouatta_seniculus	38	25.0	8.691146499	6.01	0.7461539678549526	LOW
OWM	Cercopithecidae	Lophocebus	Lophocebus_albigena	0	29.0	8.846496939	6.95	0.8420901534094132	LOW
OWM	Cercopithecidae	Lophocebus	Lophocebus_aterrimus	2		8.824677891	6.8		
OWM	Cercopithecidae	Presbytis	Presbytis_melalophos	0	20.0	8.788745882	6.53	0.5876342814162008	LOW
OWM	Cercopithecidae	Pygathrix	Pygathrix_nemaeus	13	26.0	9.181940897	9.72	0.7085983606136635	LOW
OWM	Cercopithecidae	Semnopithecus	Semnopithecus_entellus	8	29.0	9.598455842	11.44	0.7663924163000375	LOW
