SpeciesBROAD,GroupName,PTD00023,PTD00001,PTD00002,PTD00003,PTD00004,PTD00005,PTD00006,PTD00007,PTD00008,PTD00009,PTD00010,PTD00011,PTD00012,PTD00013,PTD00014,PTD00015,PTD00016,PTD00017,PTD00018,PTD00019,PTD00020,PTD00021,PTD00022,PTD00024,PTD00025,PTD00026,PTD00027,PTD00028,PTD00029,PTD00030,PTD00031,PTD00032,PTD00033,PTD00034,PTD00035,PTD00036,PTD00037,PTD00038,PTD00039,PTD00040,PTD00041,PTD00042,PTD00043,PTD00044,PTD00045,PTD00046,PTD00047,PTD00048,PTD00049,PTD00050,PTD00051,PTD00052,PTD00053,PTD00054,PTD00055,PTD00056,PTD00057,PTD00058,PTD00059,PTD00060,PTD00061,PTD00062,PTD00063,PTD00064,PTD00065,PTD00066,PTD00067,PTD00068,PTD00069,PTD00070,PTD00071,PTD00072,PTD00073,PTD00074,PTD00075,PTD00076,PTD00077,PTD00078,PTD00079,PTD00080,PTD00081,PTD00082,PTD00083,PTD00084,PTD00085,PTD00086,PTD00087,PTD00088,PTD00089,PTD00090,PTD00091,PTD00092,PTD00093,PTD00094,PTD00095,PTD00096,PTD00097,PTD00098,PTD00099,PTD00100,PTD00101,PTD00102,PTD00103,PTD00104,PTD00105,PTD00106,PTD00107,PTD00108,PTD00109,PTD00110,PTD00111,PTD00112,PTD00113,PTD00114,PTD00115,PTD00116,PTD00117,PTD00118,PTD00119,PTD00120,PTD00121,PTD00122,PTD00123,PTD00124,PTD00125,PTD00126,PTD00127,PTD00128,PTD00129,PTD00130,PTD00131,PTD00132,PTD00133,PTD00134,PTD00135,PTD00136,PTD00137,PTD00138,PTD00139,PTD00140,PTD00141,PTD00142,PTD00143,PTD00144,PTD00145,PTD00146,PTD00147,PTD00148,PTD00149,PTD00150,PTD00151,PTD00152,PTD00153,PTD00154,PTD00155,PTD00156,PTD00157,PTD00158,PTD00159,PTD00160,PTD00161,PTD00162,PTD00163,PTD00164,PTD00165,PTD00166,PTD00167,PTD00168,PTD00169,PTD00170,PTD00171,PTD00172,PTD00173,PTD00174,PTD00175,PTD00176,PTD00177,PTD00178,PTD00179,PTD00180,PTD00181,PTD00182,PTD00183,PTD00184,PTD00185,PTD00186,PTD00187,PTD00188,PTD00189,PTD00190,PTD00191,PTD00192,PTD00193,PTD00194,PTD00195,PTD00196,PTD00197,PTD00198,PTD00199,PTD00200,PTD00201,PTD00202,PTD00203,PTD00204,PTD00205,PTD00206,PTD00207,PTD00208,PTD00209,PTD00210,PTD00211,PTD00212,PTD00213,PTD00214,PTD00215,PTD00216,PTD00217,PTD00218,PTD00219,PTD00220,PTD00221,PTD00222,PTD00223,PTD00224,PTD00225,PTD00226,PTD00227,PTD00228,PTD00229,PTD00230,PTD00231,PTD00232,PTD00233,PTD00234,PTD00235,PTD00236,PTD00237,PTD00238,PTD00239,PTD00240,PTD00241,PTD00242,PTD00243,PTD00244,PTD00245,PTD00246,PTD00247,PTD00248,PTD00249,PTD00250,PTD00251,PTD00252,PTD00253,PTD00254,PTD00255,PTD00256,PTD00257,PTD00258,PTD00259,PTD00260,PTD00261,PTD00262,PTD00263
Colobus_satanas,OWM_Cercopithecidae_Colobus_satanas,0.99,9.09492952,4.316153891,Trichromatic,Multimale,0.65,,,,,,,,,8.91,10.4,7.42,D,Frugivore,AR,3,1,Forest,74.9,71.8,10400,7420,1.402,13.5,2.3,6,2.61,,192.76,,,1.97,1654.6,24.1,1329.5,1500.3,2.72,0.607,0.3262,56,34,0,,60,23,4,8.1,Polygynandry,Polygynandry,,,,,,,,,,,,,Multimale,No,,,13.7,10420,7420,1.402,16.08,9.16,1.755,10400,,,10410,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colobus_vellerosus,OWM_Cercopithecidae_Colobus_vellerosus,1.02,8.964439834,4.291417886,Trichromatic,Multimale,,,,,,,,,,7.68,8.5,6.9,D,Folivore,AR,3,,Forest/Savanna,73.07,69.73,8420,7220,1.166,,,,,,,,,7.44,1067.2,26.8,1173.1,1620.5,0.29,,,,,,,59,24,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrocebus_poliophaeus,OWM_Cercopithecidae_Erythrocebus_poliophaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulemur_cinereiceps,STR_Lemuridae_Eulemur_cinereiceps,,,,Dichromatic,Multimale,,,,,,,,,,2.16,2.19,2.14,CA,Frugivore,AR,5,1,Forest,22.1,,2150,2130,1.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulemur_rufifrons,STR_Lemuridae_Eulemur_rufifrons,,,,Dichromatic,Multimale,16.67,,,,,,,,,2.18,2.18,2.25,CA,Folivore_frugivore,AR,2,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.911410256,,0.7461858974,127.9513889,,0.02976190476,2.035714286,0.2785897436,13.36538462,1.967784084,14.03630769,10.61217949,102.875641,89.69871795,,0.9380769231,3.30952381,291.0416667,13.95384615,,116.7525641,43.37416667,14.0072619,1881.916667,,60.57692308,4308.065476,,17.46428571,54.0952381,32.34880952,1.666666667,120.8141026,0.01785714286,0.9107142857,42.18589744,2557.410714,5.132948718,,5.628717949,8.047154762,30.52638889,61.14615385,146.2192308,7.900128205,54.17361111,,7.405357143,,,,,,,,,,,,,,,,
Euoticus_pallidus,STR_Galagidae_Euoticus_pallidus,,5.703782475,1.646733697,Monochromatic,,,,,,,,,,,0.253,,,N,Gummivore,AR,1,,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galago_matschiei,STR_Galagidae_Galago_matschiei,0.99,5.347107531,1.530394705,Monochromatic,Solitary,,,,,,,,,,0.21,0.207,0.212,N,Omnivore,AR,1,1,Forest,4.62,4.43,207,212,0.976,,,,,,,,,-0.33,1165,21.5,1391.6,1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_cocos,STR_Galagidae_Galagoides_cocos,,,,Monochromatic,,,,,,,,,,,0.14,0.15,0.13,N,Omnivore,AR,1,2,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_granti,STR_Galagidae_Galagoides_granti,,,,Monochromatic,Solitary,,,,,,,,,,0.134,0.157,,N,Omnivore,AR,1,2,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_kumbirensis,STR_Galagidae_Galagoides_kumbirensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_orinus,STR_Galagidae_Galagoides_orinus,,,,Monochromatic,Solitary,,,,,,,,,,0.09,,,N,Omnivore,AR,2,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_rondoensis,STR_Galagidae_Galagoides_rondoensis,,,,Monochromatic,,,,,,,,,,,0.675,0.69,0.66,N,Omnivore,AR,5,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galagoides_thomasi,STR_Galagidae_Galagoides_thomasi,,,,Monochromatic,Solitary,,,,,,,,,,0.12,0.103,0.13,N,Omnivore,AR,1,2,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla_beringei,APE_Hominidae_Gorilla_beringei,,11.77528973,6.196993875,Trichromatic,Unimale/Multimale,5,,,,,,,,,130,162.5,97.5,D,Folivore_frugivore,BOTH,5,1,Forest,491.27,480.15,162500,97500,1.667,,,,,,,,,,,,,,,,,,,,,,,,,Harem Polygyny,Polygyny,,,97500,480.2,,,,,,10,,,Polygynous,Yes,,2,10.2,162500,97500,1.67,30.1,16.63,1.81,162500,28.96,164660,163220,1,0,0,0,0,1,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401096.47,,44135.09,,,,,,,,8658.01,,,2969.47,251206.07,159055.42,,8900,,,,,,,,,1198.48,,,,,,,2714.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoolock_leuconedys,APE_Hylobatidae_Hoolock_leuconedys,,,,Trichromatic,Pair,,,,,,,,,,7.2,,,D,Folivore_frugivore,AR,3,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoolock_tianxing,APE_Hylobatidae_Hoolock_tianxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_abbotti,APE_Hylobatidae_Hylobates_abbotti,,,,,Pair,,,,,,,,,,5.95,6.15,5.75,D,,AR,4,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_albibarbis,APE_Hylobatidae_Hylobates_albibarbis,,,,Trichromatic,Pair,,,,,,,,,,5.95,5.45,6.45,D,Frugivore,AR,4,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_funereus,APE_Hylobatidae_Hylobates_funereus,,,,,Pair,,,,,,,,,,5.5,5.63,5.37,D,Frugivore,AR,4,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagothrix_cana,PLA_Atelidae_Lagothrix_cana,,9.01371703,4.59854831,Polymorphic,Multimale,,,,,,,,,,8.31,8.97,7.65,D,Frugivore,AR,4,1,Forest/Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagothrix_flavicauda,PLA_Atelidae_Lagothrix_flavicauda,,,,,,0,,,,,,,,,7.25,8.5,6,D,Frugivore,AR,5,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagothrix_poeppigii,PLA_Atelidae_Lagothrix_poeppigii,,,,Polymorphic,Multimale,,,,,,,,,,7.25,8.5,6,D,Frugivore,AR,3,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagotrix_lugens,PLA_Atelidae_Lagotrix_lugens,,,,Polymorphic,Multimale,,,,,,,,,,6.87,8,5.75,D,,AR,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_cruzlimai,PLA_Callitrichidae_Leontocebus_cruzlimai,,,,,,,,,,,,,,,,,,D,,AR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_fuscus,PLA_Callitrichidae_Leontocebus_fuscus,,,,,,,,,,,,,,,0.37,,,D,Omnivore,AR,1,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_illigeri,PLA_Callitrichidae_Leontocebus_illigeri,,,,,,,,,,,,,,,0.29,0.292,0.296,D,Omnivore,AR,1,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_lagonotus,PLA_Callitrichidae_Leontocebus_lagonotus,,,,,,,,,,,,,,,0.37,,,D,Omnivore,AR,1,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,318.82,7.77,3.3,3.84,1.93,14.35,9.66,1.31,8.35,0.36,33.44,11.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_leucogenys,PLA_Callitrichidae_Leontocebus_leucogenys,,,,,,,,,,,,,,,0.37,,,D,Omnivore,AR,1,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_nigricollis,PLA_Callitrichidae_Leontocebus_nigricollis,,6.165417854,2.186051277,Polymorphic,Pair/Multimale,1,,,,,,,,,0.48,0.468,0.484,D,Omnivore,AR,1,1,Forest/Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,8.9,,,251,140,81.3,2.33,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,21,1481,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_nigrifrons,PLA_Callitrichidae_Leontocebus_nigrifrons,,,,,,,,,,,,,,,0.36,0.354,0.369,D,Omnivore,AR,1,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_tripartitus,PLA_Callitrichidae_Leontocebus_tripartitus,,,,Polymorphic,Multimale,,,,,,,,,,0.4,,,D,Omnivore,AR,2,1,Forest/Wetlands,,,,,,5.5,2.5,1.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontocebus_weddelli,PLA_Callitrichidae_Leontocebus_weddelli,,,,,,,,,,,,,,,0.36,0.359,0.357,D,Omnivore,AR,1,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontopithecus_caissara,PLA_Callitrichidae_Leontopithecus_caissara,,,,Polymorphic,,,,,,,,,,,0.58,0.606,0.551,D,Frugivore,AR,5,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepilemur_aeeclis,STR_Lepilemuridae_Lepilemur_aeeclis,,,,Dichromatic,Solitary,,Absent,Discrete,,,,,,,0.86,0.868,0.909,N,,AR,3,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solitary,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepilemur_ahmansonorum,STR_Lepilemuridae_Lepilemur_ahmansonorum,,,,Dichromatic,Solitary,,,,,,,,,,0.595,,,N,,AR,4,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepilemur_ankaranensis,STR_Lepilemuridae_Lepilemur_ankaranensis,,,,Dichromatic,Solitary,,Absent,Discrete,,,,,,,0.76,,,N,Folivore_frugivore,AR,4,1,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solitary,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
