SpeciesBROAD,GroupName,PTD00023,PTD00001,PTD00002,PTD00003,PTD00004,PTD00005,PTD00006,PTD00007,PTD00008,PTD00009,PTD00010,PTD00011,PTD00012,PTD00013,PTD00014,PTD00015,PTD00016,PTD00017,PTD00018,PTD00019,PTD00020,PTD00021,PTD00022,PTD00024,PTD00025,PTD00026,PTD00027,PTD00028,PTD00029,PTD00030,PTD00031,PTD00032,PTD00033,PTD00034,PTD00035,PTD00036,PTD00037,PTD00038,PTD00039,PTD00040,PTD00041,PTD00042,PTD00043,PTD00044,PTD00045,PTD00046,PTD00047,PTD00048,PTD00049,PTD00050,PTD00051,PTD00052,PTD00053,PTD00054,PTD00055,PTD00056,PTD00057,PTD00058,PTD00059,PTD00060,PTD00061,PTD00062,PTD00063,PTD00064,PTD00065,PTD00066,PTD00067,PTD00068,PTD00069,PTD00070,PTD00071,PTD00072,PTD00073,PTD00074,PTD00075,PTD00076,PTD00077,PTD00078,PTD00079,PTD00080,PTD00081,PTD00082,PTD00083,PTD00084,PTD00085,PTD00086,PTD00087,PTD00088,PTD00089,PTD00090,PTD00091,PTD00092,PTD00093,PTD00094,PTD00095,PTD00096,PTD00097,PTD00098,PTD00099,PTD00100,PTD00101,PTD00102,PTD00103,PTD00104,PTD00105,PTD00106,PTD00107,PTD00108,PTD00109,PTD00110,PTD00111,PTD00112,PTD00113,PTD00114,PTD00115,PTD00116,PTD00117,PTD00118,PTD00119,PTD00120,PTD00121,PTD00122,PTD00123,PTD00124,PTD00125,PTD00126,PTD00127,PTD00128,PTD00129,PTD00130,PTD00131,PTD00132,PTD00133,PTD00134,PTD00135,PTD00136,PTD00137,PTD00138,PTD00139,PTD00140,PTD00141,PTD00142,PTD00143,PTD00144,PTD00145,PTD00146,PTD00147,PTD00148,PTD00149,PTD00150,PTD00151,PTD00152,PTD00153,PTD00154,PTD00155,PTD00156,PTD00157,PTD00158,PTD00159,PTD00160,PTD00161,PTD00162,PTD00163,PTD00164,PTD00165,PTD00166,PTD00167,PTD00168,PTD00169,PTD00170,PTD00171,PTD00172,PTD00173,PTD00174,PTD00175,PTD00176,PTD00177,PTD00178,PTD00179,PTD00180,PTD00181,PTD00182,PTD00183,PTD00184,PTD00185,PTD00186,PTD00187,PTD00188,PTD00189,PTD00190,PTD00191,PTD00192,PTD00193,PTD00194,PTD00195,PTD00196,PTD00197,PTD00198,PTD00199,PTD00200,PTD00201,PTD00202,PTD00203,PTD00204,PTD00205,PTD00206,PTD00207,PTD00208,PTD00209,PTD00210,PTD00211,PTD00212,PTD00213,PTD00214,PTD00215,PTD00216,PTD00217,PTD00218,PTD00219,PTD00220,PTD00221,PTD00222,PTD00223,PTD00224,PTD00225,PTD00226,PTD00227,PTD00228,PTD00229,PTD00230,PTD00231,PTD00232,PTD00233,PTD00234,PTD00235,PTD00236,PTD00237,PTD00238,PTD00239,PTD00240,PTD00241,PTD00242,PTD00243,PTD00244,PTD00245,PTD00246,PTD00247,PTD00248,PTD00249,PTD00250,PTD00251,PTD00252,PTD00253,PTD00254,PTD00255,PTD00256,PTD00257,PTD00258,PTD00259,PTD00260,PTD00261,PTD00262,PTD00263
Eulemur_mongoz,STR_Lemuridae_Eulemur_mongoz,1.11,7.100027167,3.004196352,Dichromatic,Pair/Multimale,16.67,Absent,Discrete,High,Monogamous,129,152,0.54,Yes,1.375,1.41,1.56,CA,Folivore_frugivore,AR,5,1,Forest,20.17,19.69,1143.3,1281.5,0.892,2.93,1,1,1,365,128,151.13,360,-16.11,1258.8,26.2,932.2,1603.7,0.042,0.712,3.0789,63.3,19.3,0,1.197,9,9.5,69.1,4,Monogamy,Pair,Bisexual,No,1212,17.9,58.2,1.21,365,128,152,2.51,36.2,0.318,Monogamous,No,1,1,3.5,1630,1610,1.012,9.63,8.06,1.195,1680,12.25,1660,1657,0,0,1,0,0,0,0,0,0,0,1,1,4,,,1.075,1.024390244,1,0.975609756,1,2,127,Seasonal,12,4,1.764383562,2.901369863,23.58082192,19.67123288,1549.38599,1301.034091,1892.5,1522.885153,1301.034091,1818.192308,1579.542115,1377.653846,1892.5,60.20882353,40.3,77.5,59.06666667,40.3,77.5,1494.072066,1250,1741.25,1482.000859,1250,1700.5,1507.071828,1264,1741.25,36.2739726,36.2739726,32.15068493,24.46831544,27.02731211,21.34511225,0.238095238,0.186046512,0.275,1,,,,,,,,,,,,,,,,,,2.3,15.5,,4,22240,,,,,,,,,,,,,,12030,8200,,,,,,,,1060,50,,,,,,,,,,5.2324,4.46573,0.8094166667,356.033,2299.386364,0.08833333333,4.601666667,0.1982666667,18.339,1.497522345,18.62916667,10.04793333,104.8646667,83.51086957,1303.532197,1.023541667,2.737,181.2943333,8.685,1.371266667,129.245,44.4744,13.8697,559,17.07575758,45.249,2529.203667,2.005555556,16.0566,51.1948,31.58973333,3.156,188.1493333,0.04,4.4,50.24722222,2681.333667,5.003066667,299.1875,4.7876,8.719916667,25.88266667,48.12133333,146.6646667,6.631266667,30.3015873,0.03333333333,5.610066667,,,,,,,,,,,,,,,,
Eulemur_rubriventer,STR_Lemuridae_Eulemur_rubriventer,1.01,7.580699752,3.266903794,Dichromatic,Pair,8.33,Absent,Discrete,Low,Monogamous,,,,Yes,1.9975,2.07,1.96,CA,Folivore_frugivore,AR,3,1,Forest,26.23,26.93,1980,1940,1.021,3,1,1,1,,130,151.22,240,-18.45,1781.1,19.4,1344,1575.5,0.2,0.444,0.8799,81,15,,1.051,16,21,60,2,Monogamy,Pair,Bisexual,,1960,26.2,,,,123,135,1.55,20,,Monogamous,No,,1,3.2,1980,1940,1.021,10.49,9.98,1.051,1980,1.76,2512,2157,0,0,1,0,0,0,0,0,0,0,1,1,4,,,1.444444444,1.047619048,1,0.952380952,1,2,120,Seasonal,12,4,1.775342466,3.695890411,13.15068493,14.29863014,2190.292421,1770,2464.259259,2058.995414,1770,2278.636364,2338.001555,2225.404598,2464.259259,78.4,70.1,89,74.86666667,70.1,84,2004.266865,1750,2220,1958.170635,1750,2214.5,2050.363095,1880,2220,33.83561644,32.85205479,33.83561644,16.7656316,14.77573538,20.55690139,0.363636364,0.384615385,0.333333333,,23,57,1344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.837666667,3.412566667,0.768625,300.8483333,2759.316667,0.225,18.475,0.3605833333,22.6875,2.039954437,24.50583333,10.51066667,102.2191667,120.7066667,695.3880952,0.9894166667,3.215,250.595,6.688333333,1.835083333,125.8716667,47.422,15.61433333,1386.75,21.975,46.92,3448.923333,2.359259259,17.7265,54.03483333,32.90833333,1.901666667,157.5083333,0,0,48.88833333,3805.098333,6.041,396.5,5.307833333,8.822416667,31.0375,68.50666667,145.0933333,7.801083333,82.00833333,0,8.094,,,21.5,,,,,,,,,,,,,
Hapalemur_aureus,STR_Lemuridae_Hapalemur_aureus,1.01,,,Dichromatic,Pair/Unimale,,Absent,Discrete,Low,Monogamous,138,140,0.5,Yes,1.515,1.52,1.39,D,Folivore,AR,5,1,Forest/Wetlands,,,,,,3,,,,365,142.5,135,,-21.66,1654.5,18.5,1321.4,1516.9,0.21,0.4,0.7736,,,,,,,,,,Pair,Bisexual,No,,,,,365,142,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoolock_hoolock,APE_Hylobatidae_Hoolock_hoolock,1.01,,,Trichromatic,Pair,,Absent,Discrete,Low,Monogamous,,700,,No,6.88,6.87,6.88,D,Frugivore,AR,4,1,Forest,110.68,105.78,7106.5,6350,1.119,,,,,1080,232.5,635.13,492,23.44,1536,17.5,1095.2,1318.7,0.413,1.26,1.7376,79,10.3,2,1.03,,,,,Monogamy,Pair,Bisexual,,,,,,1080,,709,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_agilis,APE_Hylobatidae_Hylobates_agilis,1.02,8.67419694,4.512616204,Trichromatic,Pair,4.17,Absent,Discrete,Low,Monogamous,,,,No,6,5.71,6.3,D,Frugivore,AR,4,1,Forest,91.16,90.93,5880,5820,1.01,,1,1,1,1138,,724,528,0.16,2398,25.4,1743.6,1792,0.29,1.3,2.1394,58,39,1,,,,,,Monogamy,Pair,Bisexual,Yes,,,,,1138,,724,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_klossii,APE_Hylobatidae_Hylobates_klossii,1,8.664750756,4.477223172,Trichromatic,Pair/Multimale,,Absent,Discrete,Low,Monogamous,210,330,0.61,No,5.8,5.67,5.92,D,Frugivore,AR,4,1,Forest,87.99,90.55,5670,5920,0.958,,0.9,1,1.11,,213,335,444,,,,,,0.32,1.5,2.35,72,2,26,0.966,,,,,Monogamy,Pair,Bisexual,Yes,,,,,,213,335,,37,,Monogamous,No,1,,4.3,5670,5920,0.958,16.06,16.62,0.966,5670,,,5670,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_lar,APE_Hylobatidae_Hylobates_lar,1.01,8.629628621,4.623697491,Trichromatic,Pair,8.93,Absent,Discrete,Low,Monogamous,205,548,0.73,No,5.64,5.92,5.36,D,Frugivore,AR,4,1,Forest,101.87,100.49,5809.2,5380.9,1.08,3.3,1,1,1,983.67,217,725.86,480,13.68,1727.4,23,1278.1,1612.3,0.32,1.6,2.5066,64,24.7,9.7,1.16,33.87,23.33,33.1,7.57,Monogamy,Pair,Bisexual,Yes,5595,101.5,406,1,1251,210,745,10,52,0.071,Monogamous,No,1,1,4.4,5900,5340,1.105,18.32,15.79,1.16,5900,5.5,5500,5767,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,18,1278,2,,,,,,,,,,,,,,2.6,17.7,,6,93644.16,2249.16,11792.31,1459,5716,76001,43.9,,1264,302,3902,4784,1136,2141.5,61802.5,40944,31.2,3226,629,777,715,61.6,302,4293.5,160.67,,407,3.92,4.12,4.88,234,262,80,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_moloch,APE_Hylobatidae_Hylobates_moloch,1,,,Trichromatic,Pair,,Absent,Discrete,Low,Monogamous,,,,No,6.42,6.58,6.25,D,Frugivore,AR,4,1,Forest,,,6580,6250,1.053,,,,,730,243,724,540,-7,2119.1,23.8,1601.1,1755.4,0.12,1.4,3.5816,61,38,0,,,,,,Monogamy,Pair,Bisexual,Yes,,,,,730,243,724,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,19.9,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_muelleri,APE_Hylobatidae_Hylobates_muelleri,1.02,8.669227347,4.4441795,Trichromatic,Pair,,Absent,Discrete,Low,Monogamous,195,,,No,5.35,5.44,5.27,D,Frugivore,AR,4,1,Forest,85.13,86.95,5632.3,6010.3,0.937,,,,,1095,206.7,,684,1.13,2665.3,24,1679.4,1707.8,0.26,0.9,1.5642,62,32,2,,,,,4,Monogamy,Pair,Bisexual,Yes,,,,,1080,207,,,60,,Monogamous,No,,,3.4,,,1.067,19.6,18.6,1.054,5710,,,5710,0,0,1,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,37.3,1679,2,,,,,,,,,,,,,,,,,,98262.77,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,222,572,284,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylobates_pileatus,APE_Hylobatidae_Hylobates_pileatus,1,8.607033895,4.438997531,Trichromatic,Pair,,Absent,Discrete,Low,Monogamous,,,,No,5.47,5.5,5.44,D,Frugivore,AR,4,1,Forest,84.69,83.83,5500,5440,1.011,,1,1,1,,228,635.13,432,12.92,1576,26,1202.4,1711.5,0.23,1.3,2.4023,67.5,20,11,0.993,,,,,Monogamy,Pair,Bisexual,Yes,,,,,,228,,,38,,Monogamous,No,,,4,5500,5440,1.011,16.75,16.87,0.993,5500,,,5500,0,0,1,0,0,0,1,0,0,2,3,4,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
