ID,Trait,Description,Description+values,Source,Link
PTD00001,Body_mass,Body mass,Body mass,Smaers et al. 2021,https://advances.sciencemag.org/content/7/18/eabe2101
PTD00002,Brain_mass,Brain mass,Brain mass,Smaers et al. 2021,https://advances.sciencemag.org/content/7/18/eabe2101
PTD00003,Colour_vision,Colour vision,Colour vision,Onstein et al. 2020,https://royalsocietypublishing.org/doi/10.1098/rspb.2019.2731
PTD00004,Social_organization,Social system,Social system,Kappeler et al. 2019,https://advances.sciencemag.org/content/5/12/eaay1276
PTD00005,Coenspecific_violence,% intraspecific deaths,% intraspecific deaths,Goméz et al. 2016,https://www.nature.com/articles/nature19758#MOESM215
PTD00006,Paternal_care,Care for at least 30% infant time,Care for at least 30% infant time (Present/Absent),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00007,Female_Ranging_patterns,Overlapping ranges > or < 5%,Overlapping ranges > or < 5%  (Overlaping/Discrete),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00008,Infanticide,Killing of newborn,Killing of newborn (High/Low),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00009,Mating_system,Mating system,Mating system,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00010,Gestation_length,Gestation period in days,Gestation period in days,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00011,Weaning_age,Weaning period in days,Weaning period in days,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00012,Weaning_prop,Proportion of lactation from breeding cycle,Proportion of lactation from breeding cycle (Lact/Lact+Gestation),Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00013,Seasonal_breeders,Seasonal breeding,Yes/No,Opie et al. 2013,https://www.pnas.org/content/110/33/13328/tab-figures-data
PTD00014,BodyMass_kg,Body mass,Body mass,Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00015,BodyMassMale_kg,Body mass in males,Body mass in males,Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00016,BodyMassFemale_kg,Body mass in females,Body mass in females,Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00017,DielActivity,Diel Activity patterns,Diel Activity patterns (Diurnal/Nocturnal/Cathemeral),Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00018,TrophicGuild,Type of diet,Type of diet (Folivore/Frugivore/Folivore-frugivore/Gummivore/Insectivore/Omnivore),Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00019,Locomotion,Type of locomotion,Type of locomotion (Terrestrial/Arboreal/Both),Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00020,IUCN_ER,Extinction risk,Extinction risk (Least Concern=1/Near Threatened=2/Vulnerable=3/Endangered=4/Critically endangered=5/Extinct in the wild=6/Extinct=7),Galán-Acedo et al. 2019 (update Feb21),https://www.nature.com/articles/s41597-019-0059-9
PTD00021,IUCN_Pop_Trend,Population trend,Population trend (Decreasing=1/Stable=2/Increasing=3),Galán-Acedo et al. 2019 (update Feb21),https://www.nature.com/articles/s41597-019-0059-9
PTD00022,Habitat,Habitat,Habitat,Galán-Acedo et al. 2019,https://www.nature.com/articles/s41597-019-0059-9
PTD00023,LitterSz,Litter size,Litter size,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00024,BrainSizeSpeciesMean,Brain size,Brain size,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00025,BrainSizeFemaleMean,Brain size in females,Brain size in females,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00026,Body.MassMaleMean,Body mass male,Body mass male,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00027,BodyMassFemaleMean,Body mass female,Body mass female,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00028,MassDimorphism,Mass dimorphism,Mass dimorphism,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00029,MeanGroupSize,Mean group size,Mean group size,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00030,AdultMales,Nº of adult males per social group,Nº of adult males per social group,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00031,AdultFemale,Nº of adult females per social group,Nº of adult females per social group,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00032,AdultSexRatio,Ratio of males to females per group,Ratio of males to females per group,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00033,InterbirthInterval_days,Interbith interval in days,Interbith interval in days,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00034,Gestation,Gestation period in days,Gestation period in days,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00035,WeaningAge_d,Weaning period in days,Weaning period in days,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00036,MaxLongevity_m,Maximum longevity in months,Maximum longevity in months,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00037,GR_MidRangeLat_dd,Mid-range latitude,Mid-range latitude,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00038,Precip_Mean_mm,Mean niche precipitation,Mean niche precipitation,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00039,Temp_Mean_degC,Mean niche temperature,Mean niche temperature,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00040,AET_Mean_mm,Actual evapotranspiration rate,Actual evapotranspiration rate,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00041,PET_Mean_mm,Potential evapotranspiration rate,Potential evapotranspiration rate,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00042,HomeRange_km2,Home range size in km2,Home range size in km2,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00043,DayLength_km,Daily travel length,Daily travel length,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00044,Territoriality,Protection from incursions in species range,Protection from incursions in species range,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00045,Fruit,% diet from fruit,% diet from fruit,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00046,Leaves,% diet from leaves,% diet from leaves,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00047,Fauna,% diet from fauna,% diet from fauna,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00048,CanineDimorphism,Canine dimorphism ratio,Canine dimorphism ratio,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00049,Feed,% time feeding,% time feeding,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00050,Move,% time moving,% time moving,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00051,Rest,% time resting,% time resting,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00052,Social,% time social activity,% time social activity,Kamilar et al. 2013,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0341
PTD00053,Mating.System,Mating system,Mating system,Decasiens2017,https://www.nature.com/articles/s41559-017-0112
PTD00054,SocialSystem,Social system,Social system,Decasiens2017/Lupold2019/Schultz2011,https://www.nature.com/articles/s41559-017-0112
PTD00055,NatalDispersal,Natal dispersal,Natal dispersal,Schultz2011,https://www.nature.com/articles/nature10601
PTD00056,StableGroups,Stable groups,Yes/No,Schultz2011,https://www.nature.com/articles/nature10601
PTD00057,Body.mass..g.,Body mass,Body mass,VanShaik et al. 2012,https://www.zora.uzh.ch/id/eprint/71056/
PTD00058,Endocranial.volume..cm3.,Endocranial volume,Endocranial volume,VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012),https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577
PTD00059,Neonatal.mass..g.,Neonatal mass,Neonatal mass,VanShaik et al. 2012,https://www.zora.uzh.ch/id/eprint/71056/
PTD00060,Offspring.per.litter,Litter size,Litter size,VanShaik et al. 2012,https://www.zora.uzh.ch/id/eprint/71056/
PTD00061,Interbirth.interval..days.,Interbith interval period length,Interbith interval period in days,VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/,https://www.zora.uzh.ch/id/eprint/71056/ https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577
PTD00062,Gestation..days.,Gestation period length,Gestation period in days,VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB,https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577
PTD00063,Lactation..days.,Lactation period length,Lactation period in days,VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB,https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577
PTD00064,Age.of.female.at.first.reproduction..y.,Age of female at first reproduction in years,Age of female at first reproduction in years,VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012),https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577
PTD00065,Maximum.lifespan..y.,Maximum lifespan in years,Maximum lifespan in years,VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB,https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577
PTD00066,Maximum.possible.reproductive.success.under.optimal.conditions..rmax.,Maximum possible reproductive success under optimal conditions,Maximum possible reproductive success under optimal conditions,VanShaik et al. 2012,https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577
PTD00067,SocialMatingSystem,Social system + Mating system,Social system + Mating system,Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00068,Monopolization,Female monopolization,Female monopolization (Yes/No),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00069,FemalesPerMaleInBreedingGroup,Ratio of females to males per breeding group,Ratio of females to males per breeding group,Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00070,MalesPerBreedingGroup,Nº of adult males per breeding group,Nº of adult males per breeding group,Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00071,SocialGroupSize,Social group size,Social group size,Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00072,MaleBodyMass.SexSzeDimorphismDataset..in.g,Body mass male (dimorpshim dataset),Body mass (dimorpshim dataset),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00073,FemaleBodyMass.SexSizeDimorphismDataset..in.g,Body mass female (dimorpshim dataset),Body mass (dimorpshim dataset),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00074,SexualSizeDimorphism,Mass dimorphism (dimorpshim dataset),Mass dimorphism (dimorpshim dataset),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00075,MaleCanineHeight.in.mm,Male Canine Height,MaleCanineHeight.in.mm,Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00076,FemaleCanineHeight.in.mm,Female Canine Height,FemaleCanineHeight.in.mm,Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00077,SexualCanineDimorphism,Canine dimorphism (dimorphism dataset),Canine dimorphism (dimorphism dataset),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00078,MaleBodyMass.CanineDataset..in.g,Body mass (canine dataset),Body mass (canine dataset),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00079,CombinedTestesMass.in.g,CombinedTestesMass.in.g,CombinedTestesMass.in.g,Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00080,MaleBodyMass.TestesDataset..in.g,Body mass (Testes dataset),Body mass (Testes dataset),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00081,meanMaleBodyMass.in.g,Body mass male (Dimorphism dataset),Body mass male (Dimorphism dataset),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00082,HeadFlesh,Head flesh dimorphism,Head flesh dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00083,HeadSkin,Head skin dimorphism,Head skin dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00084,HeadHair,Head hair dimorphism,Head hair dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00085,BodyFlesh,Body flesh dimorphism,Body flesh dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00086,BodySkin,Body skin dimorphism,Body skin dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00087,BodyHair,Body hair dimorphism,Body hair dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00088,BodyPelageDichrom,Body pelage dimorphism,Body pelage dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00089,GenitalFlesh,Genital flesh dimorphism,Genital flesh dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00090,GenitalSkin,Genital skin dimorphism,Genital skin dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
PTD00091,GenitalHair,Genital hair dimorphism,Genital hair dimorphism (Absence = 0/Structure OR color = 1/Structure & color = 2),Lupold et al. 2019,https://royalsocietypublishing.org/doi/suppl/10.1098/rspb.2018.2542
